Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2021,50,77.02702702702703,59.45945945945946,54.054054054054056,36.486486486486484
2021,51,57.57575757575758,42.42424242424242,34.34343434343434,19.19191919191919
2021,53,67.5,48.75,41.25,22.5
2021,54,70.32967032967034,57.14285714285714,40.65934065934066,27.472527472527474
2021,55,72.61146496815286,62.42038216560509,41.40127388535032,31.210191082802545
2021,56,64.0,42.66666666666667,42.66666666666667,21.333333333333336
2022,1,75.9493670886076,60.75949367088608,41.77215189873418,26.582278481012654
2022,2,67.14285714285714,48.57142857142857,42.857142857142854,24.285714285714285
2022,4,70.9090909090909,45.45454545454545,60.0,34.54545454545455
2022,5,66.05504587155964,53.21100917431193,38.53211009174312,25.688073394495415
2022,6,63.541666666666664,43.22916666666667,46.35416666666667,26.041666666666668
2022,8,69.17808219178082,46.57534246575342,48.63013698630137,26.027397260273972
2022,9,64.0,49.333333333333336,48.0,33.33333333333333
2022,10,70.78651685393258,60.67415730337079,43.82022471910113,33.70786516853933
2022,11,68.51851851851852,48.148148148148145,55.55555555555556,35.18518518518518
2022,12,63.74999999999999,48.75,38.75,23.75
2022,13,70.46979865771812,53.691275167785236,44.29530201342282,27.516778523489933
2022,15,69.23076923076923,44.230769230769226,51.92307692307693,26.923076923076923
2022,16,68.29268292682927,46.34146341463415,52.4390243902439,30.48780487804878
2022,17,69.01408450704226,57.74647887323944,49.29577464788733,38.028169014084504
2022,18,72.72727272727273,64.54545454545455,37.27272727272727,29.09090909090909
2022,19,73.4375,57.8125,46.875,31.25
2022,20,81.48148148148148,70.37037037037037,50.617283950617285,39.50617283950617
2022,21,76.08695652173914,56.52173913043478,54.347826086956516,34.78260869565217
2022,22,74.78991596638656,68.0672268907563,41.17647058823529,34.45378151260504
2022,23,73.14814814814815,56.481481481481474,54.629629629629626,37.96296296296296
2022,24,73.61111111111111,54.166666666666664,54.166666666666664,34.72222222222222
2022,25,71.26436781609196,54.02298850574713,41.37931034482759,24.137931034482758
2022,26,65.27777777777779,41.66666666666667,48.61111111111111,25.0
2022,27,70.88607594936708,54.43037974683544,53.16455696202531,36.708860759493675
2022,28,71.84466019417476,66.01941747572816,34.95145631067961,29.126213592233007
2022,29,73.97260273972603,58.9041095890411,43.83561643835616,28.767123287671232
2022,30,69.04761904761905,51.19047619047619,42.857142857142854,25.0
2022,31,78.82352941176471,64.70588235294117,55.294117647058826,41.17647058823529
2022,32,46.2962962962963,35.18518518518518,37.03703703703704,25.925925925925924
2022,33,75.0,56.52173913043478,52.17391304347826,33.69565217391305
2022,34,63.63636363636363,40.0,49.09090909090909,25.454545454545453
2022,35,59.72222222222222,50.0,41.66666666666667,31.944444444444443
2022,36,65.4292343387471,48.25986078886311,44.5475638051044,27.37819025522042
2022,37,73.07692307692307,64.1025641025641,35.8974358974359,26.923076923076923
2022,38,63.013698630136986,47.94520547945205,42.465753424657535,27.397260273972602
2022,39,75.0,59.375,44.375,28.749999999999996
2022,40,68.08510638297872,55.319148936170215,39.361702127659576,26.595744680851062
2022,41,65.27777777777779,47.91666666666667,43.40277777777778,26.041666666666668
2022,42,75.177304964539,59.57446808510638,58.156028368794324,42.5531914893617
2022,44,67.67676767676768,50.505050505050505,37.37373737373738,20.2020202020202
2022,45,72.64150943396226,60.37735849056604,38.67924528301887,26.41509433962264
2022,46,70.66666666666667,62.66666666666667,36.0,28.000000000000004
2022,47,70.12987012987013,60.17316017316018,38.095238095238095,28.13852813852814
2022,48,63.74999999999999,48.75,37.5,22.5
2022,49,75.0,54.761904761904766,50.0,29.761904761904763
2022,50,67.14285714285714,54.285714285714285,42.857142857142854,30.0
2022,51,71.26436781609196,59.77011494252874,41.37931034482759,29.88505747126437
2022,53,62.66666666666667,45.33333333333333,40.0,22.666666666666664
2022,54,68.59504132231406,56.19834710743802,38.01652892561984,25.6198347107438
2022,55,73.91304347826086,60.86956521739131,52.17391304347826,39.130434782608695
2022,56,68.22429906542055,51.4018691588785,49.532710280373834,32.71028037383177
